Date,Close
7/3/2000 16:00:00,0.95
7/5/2000 16:00:00,0.92
7/6/2000 16:00:00,0.92
7/7/2000 16:00:00,0.96
7/10/2000 16:00:00,1.01
7/11/2000 16:00:00,1.02
7/12/2000 16:00:00,1.04
7/13/2000 16:00:00,1.02
7/14/2000 16:00:00,1.03
7/17/2000 16:00:00,1.04
7/18/2000 16:00:00,0.96
7/19/2000 16:00:00,0.95
7/20/2000 16:00:00,0.99
7/21/2000 16:00:00,0.96
7/24/2000 16:00:00,0.88
7/25/2000 16:00:00,0.89
7/26/2000 16:00:00,0.89
7/27/2000 16:00:00,0.92
7/28/2000 16:00:00,0.86
7/31/2000 16:00:00,0.91
8/1/2000 16:00:00,0.88
8/2/2000 16:00:00,0.84
8/3/2000 16:00:00,0.86
8/4/2000 16:00:00,0.85
8/7/2000 16:00:00,0.86
8/8/2000 16:00:00,0.83
8/9/2000 16:00:00,0.86
8/10/2000 16:00:00,0.85
8/11/2000 16:00:00,0.85
8/14/2000 16:00:00,0.84
8/15/2000 16:00:00,0.84
8/16/2000 16:00:00,0.88
8/17/2000 16:00:00,0.92
8/18/2000 16:00:00,0.89
8/21/2000 16:00:00,0.9
8/22/2000 16:00:00,0.92
8/23/2000 16:00:00,0.97
8/24/2000 16:00:00,1
8/25/2000 16:00:00,1.01
8/28/2000 16:00:00,1.04
8/29/2000 16:00:00,1.06
8/30/2000 16:00:00,1.06
8/31/2000 16:00:00,1.09
9/1/2000 16:00:00,1.13
9/5/2000 16:00:00,1.11
9/6/2000 16:00:00,1.04
9/7/2000 16:00:00,1.11
9/8/2000 16:00:00,1.05
9/11/2000 16:00:00,1.04
9/12/2000 16:00:00,1.03
9/13/2000 16:00:00,1.04
9/14/2000 16:00:00,1.02
9/15/2000 16:00:00,0.99
9/18/2000 16:00:00,1.08
9/19/2000 16:00:00,1.07
9/20/2000 16:00:00,1.09
9/21/2000 16:00:00,1.01
9/22/2000 16:00:00,0.93
9/25/2000 16:00:00,0.94
9/26/2000 16:00:00,0.92
9/27/2000 16:00:00,0.87
9/28/2000 16:00:00,0.52
9/29/2000 16:00:00,0.46
10/2/2000 16:00:00,0.43
10/3/2000 16:00:00,0.4
10/4/2000 16:00:00,0.42
10/5/2000 16:00:00,0.39
10/6/2000 16:00:00,0.4
10/9/2000 16:00:00,0.39
10/10/2000 16:00:00,0.37
10/11/2000 16:00:00,0.35
10/12/2000 16:00:00,0.36
10/13/2000 16:00:00,0.39
10/16/2000 16:00:00,0.38
10/17/2000 16:00:00,0.36
10/18/2000 16:00:00,0.36
10/19/2000 16:00:00,0.34
10/20/2000 16:00:00,0.35
10/23/2000 16:00:00,0.36
10/24/2000 16:00:00,0.34
10/25/2000 16:00:00,0.33
10/26/2000 16:00:00,0.33
10/27/2000 16:00:00,0.33
10/30/2000 16:00:00,0.34
10/31/2000 16:00:00,0.35
11/1/2000 16:00:00,0.37
11/2/2000 16:00:00,0.4
11/3/2000 16:00:00,0.4
11/6/2000 16:00:00,0.38
11/7/2000 16:00:00,0.38
11/8/2000 16:00:00,0.36
11/9/2000 16:00:00,0.36
11/10/2000 16:00:00,0.34
11/13/2000 16:00:00,0.35
11/14/2000 16:00:00,0.36
11/15/2000 16:00:00,0.35
11/16/2000 16:00:00,0.34
11/17/2000 16:00:00,0.33
11/20/2000 16:00:00,0.33
11/21/2000 16:00:00,0.34
11/22/2000 16:00:00,0.33
11/24/2000 16:00:00,0.34
11/27/2000 16:00:00,0.33
11/28/2000 16:00:00,0.32
11/29/2000 16:00:00,0.31
11/30/2000 16:00:00,0.29
12/1/2000 16:00:00,0.3
12/4/2000 16:00:00,0.3
12/5/2000 16:00:00,0.3
12/6/2000 16:00:00,0.26
12/7/2000 16:00:00,0.26
12/8/2000 16:00:00,0.27
12/11/2000 16:00:00,0.27
