Date,Contract,Units,$Volume,LowPrice,HighPrice,AvgPrice,LastPrice
05/22/00,Reform,158,0.474,0.003,0.003,0.003,0.003
05/22/00,Rep,12,6.228,0.513,0.521,0.519,0.513
05/23/00,Dem,251,120.36,0.476,0.48,0.48,0.476
05/23/00,Reform,197,1.084,0.004,0.007,0.006,0.005
05/23/00,Rep,72,37.44,0.52,0.52,0.52,0.52
05/24/00,Dem,289,138.318,0.47,0.49,0.479,0.475
05/24/00,Reform,24,0.072,0.003,0.003,0.003,0.003
05/24/00,Rep,89,47.275,0.522,0.54,0.531,0.54
05/25/00,Dem,11,5.156,0.467,0.475,0.469,0.475
05/25/00,Reform,272,1.313,0.003,0.005,0.005,0.005
05/25/00,Rep,306,159.454,0.52,0.539,0.521,0.52
05/26/00,Dem,252,126.971,0.483,0.51,0.504,0.51
05/26/00,Reform,52,0.309,0.004,0.006,0.006,0.004
05/26/00,Rep,99,50.267,0.501,0.514,0.508,0.505
05/27/00,Dem,89,46.086,0.514,0.52,0.518,0.52
05/27/00,Reform,5,0.02,0.004,0.004,0.004,0.004
05/27/00,Rep,189,96.221,0.505,0.515,0.509,0.515
05/28/00,Dem,503,260.677,0.49,0.53,0.518,0.53
05/28/00,Reform,0,0,0,0,,0.004
05/28/00,Rep,1,0.489,0.489,0.489,0.489,0.489
05/29/00,Dem,25,12.975,0.515,0.52,0.519,0.52
05/29/00,Reform,278,0.874,0.003,0.005,0.003,0.005
05/29/00,Rep,0,0,0,0,,0.489
05/30/00,Dem,9,4.455,0.495,0.495,0.495,0.495
05/30/00,Reform,53,0.318,0.006,0.006,0.006,0.006
05/30/00,Rep,249,126.944,0.504,0.51,0.51,0.51
05/31/00,Dem,252,126.89,0.492,0.514,0.504,0.492
05/31/00,Reform,115,0.445,0.003,0.004,0.004,0.003
05/31/00,Rep,67,33.803,0.495,0.507,0.505,0.497
06/01/00,Dem,13,6.486,0.498,0.499,0.499,0.498
06/01/00,Reform,0,0,0,0,,0.003
06/01/00,Rep,47,23.752,0.5,0.509,0.505,0.5
06/02/00,Dem,327,165.39,0.5,0.528,0.506,0.5
06/02/00,Reform,112,0.468,0.004,0.005,0.004,0.004
06/02/00,Rep,226,112.933,0.497,0.5,0.5,0.497
06/03/00,Dem,0,0,0,0,,0.5
06/03/00,Reform,0,0,0,0,,0.004
06/03/00,Rep,142,71.849,0.505,0.509,0.506,0.508
06/04/00,Dem,48,24.377,0.507,0.509,0.508,0.509
06/04/00,Reform,17,0.051,0.003,0.003,0.003,0.003
06/04/00,Rep,1,0.507,0.507,0.507,0.507,0.507
06/05/00,Dem,120,60.07,0.498,0.508,0.501,0.5
06/05/00,Reform,113,0.384,0.003,0.004,0.003,0.004
06/05/00,Rep,98,48.946,0.495,0.504,0.499,0.503
06/06/00,Dem,193,97.36,0.5,0.51,0.504,0.5
06/06/00,Reform,96,0.354,0.003,0.004,0.004,0.004
06/06/00,Rep,162,80.65,0.495,0.501,0.498,0.495
